Brand,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
HP,MediaTek Octa-core,MediaTek,0,4, DDR4 RAM,2.0,LED,11.6,Integrated Graphics,MediaTek,64,0,45.0,Google Chrome,0,6897000
Lenovo,AMD Hexa-Core Ryzen 5,AMD,12,8, DDR4 RAM ,4.0,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10886700
Dell,Intel Core i5 (12th Gen),Intel,32,16, DDR5 RAM ,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,56.0,Windows 11,4,23550000
HP,Intel Core i5 (12th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16647000
Infinix,Intel Core i3 (11th Gen),Intel,0,8, LPDDR4X RAM,1.7,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,6597000
Acer,Intel Core i5 (11th Gen) Processor,Intel,32,16, DDR4 RAM ,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10497000
HP,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,4.0,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,14879700
Acer,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11997000
Lenovo,Intel Core i3 (8th Gen),Intel,12,4, DDR4 RAM ,2.2,LED,15.6,Integrated Graphics,Intel,64,1024,45.0,DOS,0,9933300
ASUS,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.9,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,14697000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,16, DDR5 RAM ,3.4,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,170.0,Windows 11,6,27897000
HP,AMD Dual-Core Ryzen 3,AMD,0,8, DDR4 RAM,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,9447000
Acer,Intel Core i7 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,16.0,GeForce RTX 4050,NVIDIA,1024,0,230.0,Windows 11,6,31497000
HP,Intel Core i3 (11th Gen),Intel,8,8, DDR4 RAM ,1.7,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,13499700
Acer,Intel Core i7 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,16.0,GeForce RTX 4050,NVIDIA,1024,0,230.0,Windows 11,6,33894000
Dell,Intel Core i5 (12th Gen),Intel,16,8, DDR4 RAM ,3.3,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15840000
ASUS,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
Tecno,Intel Core i5 (11th Gen),Intel,16,16, DDR4 RAM ,4.7,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14399700
Acer,Intel Core i5 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,135.0,Windows 11,6,23358000
Lenovo,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,3.1,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,14970000
HP,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,20999700
Acer,Intel Core i5 (12th Gen),Intel,32,8, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11097000
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,4.0,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10170000
HP,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,4.2,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,18297000
Lenovo,Intel Core i5 (11th Gen),Intel,16,16, DDR4 RAM ,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12297000
Xiaomi,Intel Core i3 (11th Gen),Intel,8,8, DDR4 RAM ,3.0,LED,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 10,0,9447000
Lenovo,Intel Core Ultra 5,Intel,16,16, LPDDR5X RAM ,4.2,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,24297000
Lenovo,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.5,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,15297000
ASUS,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.7,LCD,17.3,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,17397000
HP,Intel Celeron Dual-Core,Intel,0,8, DDR4 RAM,2.8,LCD,14.0,Integrated Graphics,Intel,256,0,41.0,Windows 11,0,7634700
HP,AMD Quad-Core Ryzen 3,AMD,0,8, LPDDR5 RAM,2.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,11097000
Lenovo,Intel Celeron Dual-Core,Intel,0,4, LPDDR4 RAM,2.8,LED,11.6,Integrated Graphics,Intel,64,0,65.0,Google Chrome,0,5699700
Acer,AMD Hexa-Core Ryzen 5,AMD,32,8, DDR4 RAM ,2.1,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,14697000
ASUS,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,2.4,LED,15.6,Integrated Graphics,Intel,256,1024,65.0,Windows 10,0,14397000
Acer,AMD Dual-Core Ryzen 3,AMD,32,8, DDR4 RAM ,2.6,LCD,14.0,Integrated Graphics,AMD,256,0,65.0,Windows 11,0,8697000
HP,AMD Dual-Core Ryzen 3,AMD,0,8, DDR4 RAM,2.6,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,8097000
Dell,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11775000
HP,Intel Celeron Dual-Core,Intel,0,8, DDR4 RAM,2.8,LED,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 10,0,8362500
ASUS,Intel Celeron Dual-Core,Intel,4,4, DDR4 RAM ,2.8,LCD,11.6,Integrated Graphics,Intel,128,0,45.0,Windows 11,0,7499700
MSI,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.7,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 10,4,17097000
ASUS,Intel Core i5 (10th Gen),Intel,32,8, DDR4 RAM ,2.5,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 10,4,15348000
Acer,Intel Core i3 (12th Gen),Intel,0,8, LPDDR5 RAM,3.4,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10559700
Acer,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,1.7,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,9897000
Acer,Intel Pentium Quad-Core,Intel,8,4, DDR4 RAM ,2.4,LED,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 10,0,7199700
ASUS,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,2.6,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,19497000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,16, DDR4 RAM ,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,21897000
ASUS,Intel Core i9 (12th Gen),Intel,0,32, LPDDR5 RAM,2.5,LED,14.0,Integrated Graphics,Intel,1024,0,100.0,Windows 11,0,50997000
HP,Intel Core i3 (11th Gen) Processor,Intel,0,8, DDR4 RAM,2.5,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14999700
HP,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,4.2,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16497000
ASUS,AMD Octa-Core Ryzen 7,AMD,32,16, DDR5 RAM ,4.7,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,90.0,Windows 11,6,29097000
ASUS,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.0,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11099700
Dell,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR5 RAM,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,26850000
Samsung,Intel Core i5 (12th Gen),Intel,0,16, LPDDR5 RAM,4.2,LED,13.3,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,21897000
Lenovo,Intel Core i3 (11th Gen) Processor,Intel,0,8, DDR4 RAM,2.5,LED,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,10497000
Acer,Intel Core i9 (11th Gen),Intel,32,16, DDR4 RAM ,4.8,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,65.0,Windows 11,6,38997000
MSI,Intel Core i7 (10th Gen),Intel,0,8, DDR4 RAM,2.6,LED,15.6,GeForce GTX 1650 Max Q,NVIDIA,256,1024,120.0,Windows 10,4,19799700
Dell,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,2.5,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,23070000
ASUS,Intel Core i5 (10th Gen),Intel,32,8, DDR4 RAM ,2.5,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 11,4,15297000
ASUS,AMD Octa-Core Ryzen 7,AMD,32,16, DDR5 RAM ,3.3,LCD,15.6,GeForce RTX 3050 Ti,NVIDIA,512,0,65.0,Windows 11,4,42597000
ASUS,AMD Dual-Core Ryzen 3,AMD,12,8, DDR4 RAM ,3.4,LCD,15.6,Integrated Graphics,AMD,256,0,65.0,Windows 11,0,17999700
ASUS,Intel Core i3 (10th Gen),Intel,12,8, DDR4 RAM ,1.2,LED,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,9897000
Infinix,Intel Core i7 (13th Gen),Intel,0,16, LPDDR5X RAM,4.8,LCD,15.6,Integrated Graphics,Intel,512,0,96.0,Windows 11,0,14997000
Lenovo,Intel Core i5 (10th Gen),Intel,0,8, DDR4 RAM,2.5,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 10,4,16060500
HP,AMD Dual-Core Ryzen 3,AMD,8,8, DDR4 RAM ,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,11397000
HP,Intel Celeron Dual-Core,Intel,0,8, DDR4 RAM,2.8,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,8697000
ASUS,AMD Dual-Core Ryzen 3,AMD,0,8, DDR4 RAM,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,12597000
Acer,Intel Core i5 (12th Gen),Intel,32,16, DDR4 RAM ,3.3,LED,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,16650000
ASUS,Intel Core i3 (12th Gen),Intel,0,8, DDR4 RAM,3.3,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,17940000
Dell,Intel Core i3 (11th Gen) Processor,Intel,0,8, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,256,1024,65.0,Windows 11,0,12719700
Lenovo,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,3.0,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,17099700
Acer,Intel Core i3 (12th Gen) Processor,Intel,0,8, LPDDR5 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 11,0,9447000
Acer,AMD Quad-Core Ryzen 5,AMD,32,8, LPDDR5 RAM ,2.8,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,9897000
ASUS,AMD Octa-Core Ryzen 7,AMD,32,16, DDR4 RAM ,2.9,LCD,17.3,GeForce RTX 3050,NVIDIA,512,0,180.0,Windows 11,4,23397000
Dell,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,1.0,LCD,15.6,Integrated Graphics,Intel,256,0,41.0,Windows 11,0,10197000
Dell,AMD Octa-Core Ryzen 7,AMD,0,16, DDR5 RAM,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,23997000
ASUS,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR4 RAM,4.2,LED,14.0,Integrated Graphics,AMD,512,0,63.0,Windows 11,0,27597000
Acer,AMD Quad-Core Ryzen 3,AMD,0,8, LPDDR5 RAM,2.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,9297000
HP,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,4.2,LCD,15.6,GeForce RTX 3050 Ti,NVIDIA,512,0,65.0,Windows 11,4,19365300
Infinix,Intel Core i3 (10th Gen),Intel,0,8, LPDDR4X RAM,3.4,LCD,14.0,UHD,Intel,512,0,65.0,Windows 11,0,8397000
Acer,Intel Core i5 (11th Gen),Intel,0,8, LPDDR4X RAM,4.2,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,21444000
Apple,Apple M1,Apple,16,8, DDR4 RAM ,2.9,LED,13.3,Integrated Graphics,Apple,256,0,30.0,macOS Big Sur,0,27270000
Realme,Intel Core i3 (11th Gen),Intel,8,8, LPDDR4X RAM ,3.0,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 10,0,12899700
Apple,Intel Core i5 (5th Gen),Intel,0,8, LPDDR3 RAM,1.8,LED,13.3,Integrated Graphics,Intel,128,0,54.0,macOS Sierra,0,20397000
HP,AMD Hexa-Core Ryzen 5,AMD,32,8, DDR4 RAM ,3.3,LED,16.1,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 10,4,18633600
ASUS,Intel Core i5 (12th Gen),Intel,0,8, DDR4 RAM,2.0,LED,16.0,GeForce RTX 2050,NVIDIA,512,0,120.0,Windows 11,4,17397000
ASUS,Intel Celeron Dual-Core,Intel,12,4, DDR4 RAM ,1.1,LED,15.6,Integrated Graphics,Intel,64,1024,33.0,Windows 10,0,7141200
HP,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,3.3,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 10,4,17097000
HP,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.2,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,10197000
ASUS,Intel Core i3 (10th Gen),Intel,12,8, DDR4 RAM ,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10797000
HP,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11106900
Acer,Intel Core i5 (10th Gen),Intel,0,8, DDR4 RAM,2.5,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 10,4,14850000
HP,AMD Dual-Core Ryzen 3,AMD,16,8, DDR4 RAM ,2.6,LED,15.6,Integrated Graphics,AMD,256,1024,41.0,Windows 10,0,11097000
ASUS,Intel Core i5 (11th Gen),Intel,12,8, DDR4 RAM ,2.4,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,12599700
ASUS,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,2.4,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14097000
ASUS,Intel Core i5 (10th Gen),Intel,16,8, DDR4 RAM ,2.4,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 11,4,15297000
HP,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,4.0,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10949700
Acer,AMD Hexa-Core Ryzen 5,AMD,32,8, DDR4 RAM ,2.1,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,14847000
