Brand,Name,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
HP,HP Chromebook 11A-NA0002MU,MediaTek Octa-core,MediaTek,0,4, DDR4 RAM,2.0,LED,11.6,Integrated Graphics,MediaTek,64,0,45.0,Google Chrome,0,6897000
Lenovo,Lenovo Ideapad Slim 3,AMD Hexa-Core Ryzen 5,AMD,12,8, DDR4 RAM ,4.0,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10886700
Dell,Dell G15-5520,Intel Core i5 (12th Gen),Intel,32,16, DDR5 RAM ,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,56.0,Windows 11,4,23550000
HP,HP 15s-fy5007TU,Intel Core i5 (12th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16647000
Infinix,Infinix Inbook Y2 Plus XL29,Intel Core i3 (11th Gen),Intel,0,8, LPDDR4X RAM,1.7,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,6597000
Acer,Acer One 14 Z8-415,Intel Core i5 (11th Gen) Processor,Intel,32,16, DDR4 RAM ,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10497000
HP,HP 14s-fq1092AU,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,4.0,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,14879700
Acer,Acer One 14 Z8-415,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11997000
Lenovo,Lenovo Ideapad S145,Intel Core i3 (8th Gen),Intel,12,4, DDR4 RAM ,2.2,LED,15.6,Integrated Graphics,Intel,64,1024,45.0,DOS,0,9933300
ASUS,ASUS TUF Gaming F15 FX506HF-HN075W,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.9,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,14697000
Lenovo,Lenovo LOQ 15APH8,AMD Octa-Core Ryzen 7,AMD,16,16, DDR5 RAM ,3.4,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,170.0,Windows 11,6,27897000
HP,HP 15s-eq1580AU,AMD Dual-Core Ryzen 3,AMD,0,8, DDR4 RAM,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,9447000
Acer,Acer Predator Helios Neo 16 PHN16-71,Intel Core i7 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,16.0,GeForce RTX 4050,NVIDIA,1024,0,230.0,Windows 11,6,31497000
HP,HP 14s-dy2508TU,Intel Core i3 (11th Gen),Intel,8,8, DDR4 RAM ,1.7,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,13499700
Acer,Acer Predator Helios Neo 16 PHN16-71,Intel Core i7 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,16.0,GeForce RTX 4050,NVIDIA,1024,0,230.0,Windows 11,6,33894000
Dell,Dell Vostro 3420,Intel Core i5 (12th Gen),Intel,16,8, DDR4 RAM ,3.3,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15840000
ASUS,ASUS VivoBook 14 X415EA-EK322WS,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
Tecno,Tecno MEGABOOK T1,Intel Core i5 (11th Gen),Intel,16,16, DDR4 RAM ,4.7,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14399700
Acer,Acer Nitro V ANV15-51,Intel Core i5 (13th Gen) Processor,Intel,32,16, DDR5 RAM ,2.5,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,135.0,Windows 11,6,23358000
Lenovo,Lenovo Ideapad Gaming 3 15IHU6,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,3.1,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,14970000
HP,HP Pavilion 14-dv2153TU,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,20999700
Acer,Acer Aspire 3 A315-59,Intel Core i5 (12th Gen),Intel,32,8, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11097000
